Name,Gender,Year,Season,Type,Brand,Agencies,Photographers
Nadja Auermann,F,1994,fall,ready-to-wear,john-galliano,"DNA,MARILYN",Guy Marineau
Nadja Auermann,F,1993,spring,ready-to-wear,comme-des-garcons,"DNA,MARILYN",Condé Nast Archive
Nadja Auermann,F,1994,spring,ready-to-wear,jean-paul-gaultier,"DNA,MARILYN",Condé Nast Archive
Nadja Auermann,F,1992,spring,ready-to-wear,mugler,"DNA,MARILYN",Condé Nast Archive
Daniela Pestova,F,1992,spring,ready-to-wear,prada,,Condé Nast Archive
Trish Goff,F,1994,spring,ready-to-wear,anna-sui,VIVA,Courtesy Of Anna Sui
Rossy de Palma,,1994,spring,ready-to-wear,jean-paul-gaultier,,Condé Nast Archive
Helena Barquilla,F,1992,spring,ready-to-wear,prada,,Condé Nast Archive
Tatiana Sorokko,,1993,spring,ready-to-wear,prada,,Condé Nast Archive
Shana Zadrick,F,1992,spring,ready-to-wear,prada,,"Condé Nast Archive,Courtesy Of Prada"
Kristen McMenamy,F,1993,spring,ready-to-wear,john-galliano,THE LIONS,Condé Nast Archive
Kristen McMenamy,F,1993,spring,ready-to-wear,prada,THE LIONS,Condé Nast Archive
Kristen McMenamy,F,1993,spring,ready-to-wear,anna-sui,THE LIONS,Condé  Nast Archive
Kristen McMenamy,F,1993,spring,ready-to-wear,perry-ellis,THE LIONS,Condé  Nast Archive
Kristen McMenamy,F,1993,fall,ready-to-wear,comme-des-garcons,THE LIONS,Condé Nast Archive
Kristen McMenamy,F,1992,spring,ready-to-wear,comme-des-garcons,THE LIONS,Condé Nast Archive
Kristen McMenamy,F,1992,fall,ready-to-wear,comme-des-garcons,THE LIONS,Condé Nast Archive
Kristen McMenamy,F,1993,spring,ready-to-wear,comme-des-garcons,THE LIONS,Condé Nast Archive
Plum Sykes,,1994,spring,ready-to-wear,prada,,Condé Nast Archive
Cordula Reyer,F,1994,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Cordula Reyer,F,1992,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Cordula Reyer,F,1992,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Cordula Reyer,F,1993,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Cordula Reyer,F,1994,fall,ready-to-wear,helmut-lang,,Condé Nast Archive
Marc Jacobs,,1993,spring,ready-to-wear,perry-ellis,,Condé  Nast Archive
Janine Giddings,F,1994,spring,ready-to-wear,prada,,Condé Nast Archive
Janine Giddings,F,1994,spring,ready-to-wear,anna-sui,,Condé Nast Archive
Janine Giddings,F,1994,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Janine Giddings,F,1994,spring,ready-to-wear,calvin-klein-collection,,Condé Nast Archive
Janine Giddings,F,1994,spring,ready-to-wear,chanel,,
Janine Giddings,F,1994,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Janine Giddings,F,1993,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Leslie Navajes,F,1992,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Leslie Navajes,F,1992,spring,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Ève Salvail,F,1994,spring,ready-to-wear,anna-sui,,"Courtesy Of Anna Sui,Condé Nast Archive"
Ève Salvail,F,1994,spring,ready-to-wear,calvin-klein-collection,,
Ève Salvail,F,1994,spring,ready-to-wear,chanel,,
Ève Salvail,F,1994,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Ève Salvail,F,1993,fall,ready-to-wear,comme-des-garcons,,Condé Nast Archive
Ève Salvail,F,1994,spring,ready-to-wear,jean-paul-gaultier,,Condé Nast Archive
Wallis Franken,F,1994,spring,ready-to-wear,chanel,,
Elfie Semotan,F,1994,fall,ready-to-wear,helmut-lang,,Condé Nast Archive
Emma Wiklund,F,1993,spring,ready-to-wear,perry-ellis,,Condé  Nast Archive
Emma Wiklund,F,1992,spring,ready-to-wear,mugler,,Condé Nast Archive
Bridget Hall,F,1994,spring,ready-to-wear,chanel,"ONE,IMG LONDON",
